Merchant Id,Transaction Type,Merchant Order Id,Merchant Reference Id,PhonePe Reference Id,Transaction UTR,Total Transaction Amount,Transaction Date,Transaction Status,UPI Amount,Wallet Amount,Credit card Amount,Debit card Amount,External Wallet Amount,EGV Amount,Store Id,Terminal Id,Store Name,Terminal Name,Instrument,RRN
M23QCXQVG8XBL,FORWARD_TRANSACTION,,01a00a895e947aa08b86a45794dd1f24,T2608161756101815203149,622886459199,150.0,2026-08-16 17:56:10,COMPLETED,150.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608161749229748067017,AC222608161749344796926824,T2608161749344841078309,237288416633,51.0,2026-08-16 17:49:37,COMPLETED,51.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,PTMc9b5ea6b1aed4e509657c2855ceb78f8,T2608161711335737514249,622884481665,1000.0,2026-08-16 17:11:33,COMPLETED,1000.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,ICIaeef7a5237ee41de9314ed7c911a9459,T2608151920576034545759,659351073253,20.0,2026-08-15 19:20:57,COMPLETED,20.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608151855105054571443,AC222608151855166529184275,T2608151855166582768446,535291720806,5000.0,2026-08-15 18:55:21,COMPLETED,5000.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,ICI7cbd33245e934b82bc81e4207ed24cb4,T2608151855107928002327,659383380901,500.0,2026-08-15 18:55:10,COMPLETED,500.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,PTMed4bc5bab9ae478e93c96ed879800eae,T2608151843469708787787,312528095726,500.0,2026-08-15 18:43:47,COMPLETED,500.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608151831012573743063,AC222608151831050870642507,T2608151831050931155536,502375801315,500.0,2026-08-15 18:31:15,COMPLETED,500.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,622718230058,T2608151828406668227744,622718230058,500.0,2026-08-15 18:28:40,COMPLETED,500.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608151827400889726260,AC222608151827442168254132,T2608151827442213215939,548233936972,20.0,2026-08-15 18:27:48,COMPLETED,20.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,PTM92bbc7d11b4b4450b73ff389347b28b5,T2608151827224612194351,312526477333,10.0,2026-08-15 18:27:22,COMPLETED,10.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608151824325450916341,AC222608151824586534777242,T2608151824586580497589,713033366494,200.0,2026-08-15 18:25:01,COMPLETED,200.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,ICIa472af1ea9b34cdfb19ae41c8e9da0c9,T2608151813152906775740,659339556320,500.0,2026-08-15 18:13:15,COMPLETED,500.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,ICIWC6BA9097E3C3F4BB7B5444DDBE759F2,T2608151809068980107342,110445119322,251.0,2026-08-15 18:09:07,COMPLETED,251.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608151807578916380804,AC222608151808302193706219,T2608151808302245904329,543889511683,251.0,2026-08-15 18:08:35,COMPLETED,251.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,AXIccce9dc19026468c8f218b08c94d4ba8,T2608151800579788051690,659302055407,500.0,2026-08-15 18:00:58,COMPLETED,500.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,RCC,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608151755432107365219,AC222608151755563618254533,T2608151755563689254208,396996553114,2100.0,2026-08-15 17:56:00,COMPLETED,2100.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,SBId9bcc7e2471049ad8212c8c5a0368e2b,T2608151750195655158485,622741071387,109.0,2026-08-15 17:50:19,COMPLETED,109.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,PTM2633176ae2fd4f00a1bef6b3cfd25092,T2608151731214048199386,622775363316,51.0,2026-08-15 17:31:21,COMPLETED,51.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608151728108068546136,AC222608151728274260033332,T2608151728274334243926,995751065510,501.0,2026-08-15 17:28:31,COMPLETED,501.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,SMTXXRKNMU1OPJJ6879J1EZR2S68JV3RNUW,T2608151727471525672801,659325162641,400.0,2026-08-15 17:27:47,COMPLETED,400.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
